t_GeV2,incoherent_nb_per_GeV2
1.650000000000000078e-01,2.977172654241686800e+01
1.680000000000000104e-01,3.004465402106298555e+01
1.710000000000000131e-01,3.031091353672993094e+01
1.740000000000000158e-01,3.057062281360180478e+01
1.769999999999999907e-01,3.082389758121550116e+01
1.799999999999999933e-01,3.107085160804457757e+01
1.829999999999999960e-01,3.131159673451738357e+01
1.859999999999999987e-01,3.154624290548106913e+01
1.890000000000000013e-01,3.177489820211768645e+01
1.920000000000000040e-01,3.199766887332531340e+01
1.950000000000000067e-01,3.221465936656962725e+01
1.980000000000000093e-01,3.242597235821769175e+01
2.000000000000000111e-01,3.256374343368857893e+01
2.010000000000000120e-01,3.263170878336102021e+01
2.040000000000000147e-01,3.283196786513644838e+01
2.070000000000000173e-01,3.302684714355481077e+01
2.099999999999999922e-01,3.321644250384362351e+01
2.129999999999999949e-01,3.340084820431389545e+01
2.159999999999999976e-01,3.358015690375765416e+01
2.190000000000000002e-01,3.375445968838419475e+01
2.220000000000000029e-01,3.392384609830430264e+01
2.250000000000000056e-01,3.408840415356799980e+01
2.280000000000000082e-01,3.424822037976460365e+01
2.310000000000000109e-01,3.440337983319226822e+01
2.340000000000000135e-01,3.455396612560392100e+01
2.370000000000000162e-01,3.470006144853707752e+01
2.399999999999999911e-01,3.484174659723409206e+01
2.429999999999999938e-01,3.497910099416047558e+01
2.459999999999999964e-01,3.511220271212690847e+01
2.489999999999999991e-01,3.524112849702341776e+01
2.520000000000000018e-01,3.536595379016980445e+01
2.550000000000000044e-01,3.548675275029092546e+01
2.580000000000000071e-01,3.560359827512166930e+01
2.610000000000000098e-01,3.571656202264968272e+01
2.640000000000000124e-01,3.582571443199926620e+01
2.670000000000000151e-01,3.593112474396479428e+01
2.700000000000000178e-01,3.603286102119857048e+01
2.730000000000000204e-01,3.613099016805914232e+01
2.760000000000000231e-01,3.622557795012573223e+01
2.790000000000000258e-01,3.631668901338374411e+01
