t_GeV2,coherent_nb_per_GeV2,incoherent_nb_per_GeV2
1.364999999999999991e+00,2.145977055722580462e-01,1.866728429626413543e+01
1.369999999999999885e+00,2.086273025703161976e-01,1.858477482012400017e+01
1.375000000000000000e+00,2.028230285921534537e-01,1.850261662382316885e+01
1.380000000000000115e+00,1.971802603440946933e-01,1.842080863853602324e+01
1.385000000000000231e+00,1.916945032158175743e-01,1.833934978595462439e+01
1.390000000000000124e+00,1.863613876980796669e-01,1.825823897873088342e+01
1.395000000000000240e+00,1.811766659001781965e-01,1.817747512090516082e+01
1.399999999999999911e+00,1.761362081643746691e-01,1.809705710832224312e+01
1.405000000000000027e+00,1.712359997745784568e-01,1.801698382903510165e+01
1.409999999999999920e+00,1.664721377566699134e-01,1.793725416369657921e+01
1.414999999999999813e+00,1.618408277679040663e-01,1.785786698593923916e+01
1.419999999999999707e+00,1.573383810729184762e-01,1.777882116274376756e+01
1.425000000000000044e+00,1.529612116039373582e-01,1.770011555479675280e+01
1.430000000000000160e+00,1.487058331028190961e-01,1.762174901683721373e+01
1.434999999999999831e+00,1.445688563426734685e-01,1.754372039799288174e+01
1.439999999999999947e+00,1.405469864268340807e-01,1.746602854210667388e+01
1.445000000000000062e+00,1.366370201630275061e-01,1.738867228805258591e+01
1.450000000000000178e+00,1.328358435106506141e-01,1.731165047004287061e+01
1.454999999999999849e+00,1.291404290991141346e-01,1.723496191792512278e+01
1.460000000000000187e+00,1.255478338152757611e-01,1.715860545747060328e+01
1.465000000000000080e+00,1.220551964580507687e-01,1.708257991065436698e+01
1.470000000000000195e+00,1.186597354583030922e-01,1.700688409592569172e+01
1.474999999999999867e+00,1.153587466622272156e-01,1.693151682847117456e+01
1.479999999999999760e+00,1.121496011764359924e-01,1.685647692046924817e+01
1.485000000000000320e+00,1.090297432730419069e-01,1.678176318133713352e+01
1.489999999999999991e+00,1.059966883530619464e-01,1.670737441797002276e+01
1.495000000000000107e+00,1.030480209665170926e-01,1.663330943497294356e+01
1.499999999999999778e+00,1.001813928876557208e-01,1.655956703488530124e+01
1.505000000000000338e+00,9.739452124375803932e-02,1.648614601839855354e+01
1.510000000000000009e+00,9.468518669603752380e-02,1.641304518456715655e+01
1.515000000000000124e+00,9.205123167117898464e-02,1.634026333101267525e+01
1.520000000000000018e+00,8.949055864211505340e-02,1.626779925412174066e+01
1.524999999999999911e+00,8.700112845666002626e-02,1.619565174923763351e+01
1.530000000000000249e+00,8.458095871267407029e-02,1.612381961084589221e+01
1.535000000000000364e+00,8.222812217846070526e-02,1.605230163275390964e+01
1.540000000000000258e+00,7.994074525713787405e-02,1.598109660826492018e+01
1.544999999999999707e+00,7.771700649375930248e-02,1.591020333034652445e+01
1.549999999999999822e+00,7.555513512399356091e-02,1.583962059179355641e+01
1.554999999999999938e+00,7.345340966320851317e-02,1.576934718538606717e+01
1.560000000000000053e+00,7.141015653482908621e-02,1.569938190404180034e+01
1.565000000000000169e+00,6.942374873688145209e-02,1.562972354096415373e+01
1.569999999999999840e+00,6.749260454565754463e-02,1.556037088978501970e+01
1.574999999999999956e+00,6.561518625546447492e-02,1.549132274470300175e+01
1.580000000000000293e+00,6.378999895346001980e-02,1.542257790061735534e+01
1.585000000000000187e+00,6.201558932859045636e-02,1.535413515325707401e+01
1.590000000000000302e+00,6.029054451368561635e-02,1.528599329930625039e+01
1.594999999999999973e+00,5.861349095978742735e-02,1.521815113652472995e+01
1.600000000000000089e+00,5.698309334181172331e-02,1.515060746386494550e+01
1.605000000000000204e+00,5.539805349467707973e-02,1.508336108158509603e+01
1.610000000000000320e+00,5.385710937904496232e-02,1.501641079135825940e+01
1.614999999999999991e+00,5.235903407585157376e-02,1.494975539637758466e+01
1.619999999999999885e+00,5.090263480882838837e-02,1.488339370145825313e+01
1.624999999999999778e+00,4.948675199423301779e-02,1.481732451313586019e+01
1.629999999999999893e+00,4.811025831703150818e-02,1.475154663976137215e+01
1.634999999999999787e+00,4.677205783279660134e-02,1.468605889159274014e+01
1.640000000000000124e+00,4.547108509460476983e-02,1.462086008088327205e+01
1.645000000000000018e+00,4.420630430423908713e-02,1.455594902196726359e+01
1.649999999999999911e+00,4.297670848701638097e-02,1.449132453134194520e+01
1.655000000000000027e+00,4.178131868958609441e-02,1.442698542774717119e+01
1.660000000000000142e+00,4.061918320005802191e-02,1.436293053224190253e+01
1.665000000000000258e+00,3.948937678983776428e-02,1.429915866827791504e+01
1.669999999999999929e+00,3.839099997656706537e-02,1.423566866177101709e+01
1.675000000000000044e+00,3.732317830757919674e-02,1.417245934116946060e+01
1.679999999999999716e+00,3.628506166330081745e-02,1.410952953751986350e+01
1.685000000000000053e+00,3.527582358004281021e-02,1.404687808453094711e+01
1.690000000000000169e+00,3.429466059164144182e-02,1.398450381863437464e+01
1.695000000000000284e+00,3.334079158942481608e-02,1.392240557904368359e+01
1.699999999999999956e+00,3.241345719999495084e-02,1.386058220781093908e+01
1.705000000000000293e+00,3.151191918032750228e-02,1.379903254988086481e+01
1.710000000000000187e+00,3.063545982971102241e-02,1.373775545314329172e+01
1.714999999999999858e+00,2.978338141805220163e-02,1.367674976848329038e+01
1.719999999999999973e+00,2.895500563009485023e-02,1.361601434982928360e+01
1.725000000000000089e+00,2.814967302510877276e-02,1.355554805419938624e+01
1.729999999999999760e+00,2.736674251161718210e-02,1.349534974174574664e+01
1.735000000000000098e+00,2.660559083674414460e-02,1.343541827579701931e+01
1.739999999999999769e+00,2.586561208977666490e-02,1.337575252289917849e+01
1.744999999999999885e+00,2.514621721954297257e-02,1.331635135285465310e+01
1.750000000000000222e+00,2.444683356522481602e-02,1.325721363875947034e+01
1.754999999999999893e+00,2.376690440022847725e-02,1.319833825703914343e+01
1.759999999999999787e+00,2.310588848875140891e-02,1.313972408748284870e+01
1.765000000000000124e+00,2.246325965469084598e-02,1.308137001327591697e+01
1.770000000000000240e+00,2.183850636255157268e-02,1.302327492103120932e+01
1.774999999999999911e+00,2.123113131001750503e-02,1.296543770081866320e+01
1.779999999999999805e+00,2.064065103186342801e-02,1.290785724619365560e+01
1.784999999999999920e+00,2.006659551489103910e-02,1.285053245422392010e+01
1.789999999999999813e+00,1.950850782358245702e-02,1.279346222551532541e+01
1.795000000000000151e+00,1.896594373617192797e-02,1.273664546423604627e+01
1.800000000000000044e+00,1.843847139084768549e-02,1.268008107813990826e+01
1.804999999999999938e+00,1.792567094179957354e-02,1.262376797858819621e+01
1.810000000000000275e+00,1.742713422484024055e-02,1.256770508057035762e+01
1.814999999999999947e+00,1.694246443233301744e-02,1.251189130272389782e+01
1.820000000000000284e+00,1.647127579716610793e-02,1.245632556735255392e+01
1.824999999999999956e+00,1.601319328552348528e-02,1.240100680044406722e+01
1.830000000000000293e+00,1.556785229820566857e-02,1.234593393168649023e+01
